user_id,page_views,add_to_cart,purchase,use_count,days_to_first_use,days_since_last_use,年龄,职业,性别,使用频率（次/周）,主要使用时间,cluster
1.0,24.0,5.0,1.0,3.0,2.0,150.0,16,高中生,女,4.0,17:00-19:00,0
2.0,16.0,4.0,1.0,2.0,5.0,0.0,7,小学生,女,9.0,17:00-19:00,0
3.0,22.0,6.0,1.0,3.0,6.0,33.0,16,高中生,男,4.0,17:00-19:00,0
4.0,26.0,3.0,1.0,5.0,0.0,190.0,16,高中生,女,12.0,9:00-11:00,0
5.0,16.0,2.0,1.0,4.0,6.0,12.0,37,全职妈妈,男,5.0,19:00-21:00,0
6.0,18.0,2.0,1.0,5.0,3.0,205.0,43,教师,男,3.0,19:00-21:00,0
7.0,20.0,5.0,1.0,5.0,2.0,60.0,33,自由职业者,男,2.0,20:30-22:00,0
8.0,22.0,5.0,1.0,5.0,5.0,165.0,38,销售经理,女,12.0,20:30-22:00,1
9.0,18.0,1.0,1.0,7.0,5.0,287.0,17,高中生,男,5.0,9:00-11:00,1
10.0,20.0,7.0,1.0,6.0,4.0,120.0,17,高中生,女,12.0,17:00-19:00,1
11.0,17.0,1.0,1.0,8.0,5.0,168.0,8,小学生,女,2.0,17:00-19:00,0
12.0,22.0,4.0,1.0,10.0,2.0,560.0,38,全职妈妈,男,14.0,20:30-22:00,1
13.0,22.0,5.0,1.0,4.0,3.0,12.0,9,小学生,男,5.0,9:00-11:00,0
14.0,18.0,6.0,1.0,8.0,5.0,136.0,35,公司职员,女,4.0,19:00-21:00,1
15.0,23.0,6.0,1.0,5.0,4.0,20.0,17,高中生,女,11.0,9:00-11:00,0
17.0,18.0,3.0,1.0,5.0,0.0,5.0,13,初中生,女,7.0,20:00-21:30,0
18.0,18.0,5.0,1.0,2.0,1.0,22.0,11,小学生,女,6.0,17:00-19:00,0
19.0,22.0,2.0,1.0,3.0,1.0,48.0,17,高中生,女,11.0,20:00-21:30,0
20.0,22.0,7.0,1.0,4.0,0.0,36.0,8,小学生,男,9.0,9:00-11:00,0
21.0,14.0,3.0,1.0,9.0,6.0,297.0,15,初中生,男,10.0,20:00-21:30,1
22.0,19.0,5.0,1.0,0.0,5.0,0.0,13,初中生,女,2.0,17:00-19:00,0
23.0,26.0,5.0,1.0,5.0,7.0,35.0,35,教师,女,7.0,15:00-17:00,1
25.0,25.0,5.0,1.0,5.0,6.0,250.0,15,初中生,女,1.0,9:00-11:00,1
26.0,24.0,6.0,1.0,5.0,1.0,50.0,38,销售经理,女,6.0,19:00-21:00,0
27.0,25.0,2.0,1.0,4.0,0.0,224.0,13,初中生,男,12.0,9:00-11:00,0
28.0,19.0,1.0,1.0,9.0,5.0,99.0,15,初中生,女,9.0,17:00-19:00,0
29.0,27.0,4.0,1.0,6.0,5.0,48.0,36,自由职业者,男,13.0,19:00-21:00,1
30.0,19.0,2.0,1.0,2.0,6.0,2.0,18,高中生,女,10.0,20:00-21:30,0
31.0,18.0,6.0,1.0,6.0,0.0,42.0,16,高中生,女,14.0,20:00-21:30,0
32.0,24.0,3.0,1.0,6.0,6.0,342.0,13,初中生,女,2.0,17:00-19:00,1
33.0,27.0,10.0,1.0,6.0,5.0,60.0,34,公司职员,男,8.0,15:00-17:00,1
34.0,15.0,2.0,1.0,5.0,7.0,295.0,11,小学生,女,7.0,17:00-19:00,0
35.0,25.0,3.0,1.0,2.0,5.0,104.0,39,教师,男,11.0,15:00-17:00,0
36.0,25.0,7.0,1.0,5.0,2.0,175.0,15,初中生,男,4.0,17:00-19:00,1
37.0,21.0,5.0,1.0,3.0,7.0,27.0,7,小学生,女,4.0,9:00-11:00,0
38.0,18.0,3.0,1.0,3.0,6.0,60.0,13,初中生,女,1.0,17:00-19:00,0
39.0,28.0,6.0,1.0,3.0,2.0,57.0,7,小学生,女,2.0,9:00-11:00,0
41.0,17.0,2.0,1.0,6.0,3.0,42.0,45,销售经理,男,8.0,20:30-22:00,0
42.0,18.0,9.0,1.0,4.0,1.0,140.0,7,小学生,女,6.0,20:00-21:30,0
43.0,29.0,10.0,1.0,5.0,2.0,140.0,15,初中生,男,11.0,9:00-11:00,1
44.0,25.0,6.0,1.0,5.0,1.0,205.0,10,小学生,女,13.0,17:00-19:00,1
45.0,28.0,4.0,1.0,7.0,4.0,77.0,13,初中生,女,3.0,20:00-21:30,1
46.0,18.0,4.0,1.0,5.0,0.0,300.0,10,小学生,男,2.0,20:00-21:30,0
47.0,17.0,1.0,1.0,3.0,3.0,39.0,33,销售经理,男,9.0,19:00-21:00,0
48.0,20.0,1.0,1.0,4.0,4.0,188.0,35,教师,男,8.0,19:00-21:00,0
49.0,15.0,2.0,1.0,7.0,4.0,371.0,35,公司职员,男,7.0,20:30-22:00,1
50.0,30.0,6.0,1.0,5.0,5.0,245.0,39,全职妈妈,男,12.0,15:00-17:00,1
51.0,21.0,6.0,1.0,7.0,4.0,140.0,17,高中生,男,5.0,17:00-19:00,1
52.0,33.0,8.0,1.0,8.0,0.0,168.0,31,销售经理,女,1.0,19:00-21:00,1
53.0,21.0,5.0,1.0,7.0,2.0,140.0,18,高中生,女,9.0,17:00-19:00,1
54.0,18.0,3.0,1.0,5.0,0.0,215.0,11,小学生,男,3.0,17:00-19:00,0
56.0,11.0,2.0,1.0,4.0,4.0,116.0,37,销售经理,女,1.0,15:00-17:00,0
57.0,28.0,11.0,1.0,6.0,4.0,228.0,12,小学生,女,9.0,20:00-21:30,1
58.0,15.0,1.0,1.0,8.0,7.0,152.0,40,教师,男,7.0,19:00-21:00,0
60.0,17.0,4.0,1.0,3.0,2.0,66.0,11,小学生,女,2.0,17:00-19:00,0
63.0,14.0,3.0,1.0,7.0,7.0,0.0,30,销售经理,女,9.0,20:30-22:00,0
64.0,18.0,6.0,1.0,2.0,1.0,50.0,34,公司职员,男,2.0,15:00-17:00,0
65.0,23.0,7.0,1.0,10.0,7.0,370.0,17,高中生,男,4.0,9:00-11:00,1
67.0,23.0,3.0,1.0,4.0,0.0,212.0,16,高中生,男,7.0,20:00-21:30,0
68.0,24.0,5.0,1.0,5.0,3.0,300.0,9,小学生,女,11.0,20:00-21:30,1
69.0,30.0,9.0,1.0,6.0,1.0,258.0,10,小学生,女,7.0,9:00-11:00,1
70.0,19.0,2.0,1.0,4.0,7.0,84.0,7,小学生,女,12.0,17:00-19:00,0
71.0,18.0,4.0,1.0,5.0,2.0,215.0,17,高中生,女,3.0,20:00-21:30,0
72.0,26.0,6.0,1.0,6.0,0.0,54.0,9,小学生,男,13.0,17:00-19:00,1
73.0,21.0,5.0,1.0,3.0,0.0,162.0,37,教师,女,6.0,15:00-17:00,0
74.0,28.0,3.0,1.0,7.0,2.0,399.0,34,全职妈妈,女,4.0,19:00-21:00,1
75.0,19.0,5.0,1.0,7.0,6.0,35.0,43,教师,男,12.0,20:30-22:00,0
76.0,27.0,8.0,1.0,8.0,6.0,128.0,37,全职妈妈,男,13.0,15:00-17:00,1
77.0,23.0,3.0,1.0,4.0,3.0,200.0,7,小学生,女,4.0,17:00-19:00,0
78.0,22.0,3.0,1.0,7.0,4.0,343.0,41,全职妈妈,男,13.0,19:00-21:00,1
80.0,22.0,3.0,1.0,4.0,3.0,92.0,41,自由职业者,女,7.0,15:00-17:00,0
81.0,23.0,7.0,1.0,4.0,6.0,200.0,40,销售经理,女,2.0,20:30-22:00,1
82.0,24.0,5.0,1.0,0.0,1.0,0.0,9,小学生,男,10.0,20:00-21:30,0
83.0,19.0,3.0,1.0,1.0,5.0,55.0,14,初中生,男,9.0,17:00-19:00,0
84.0,23.0,7.0,1.0,1.0,4.0,7.0,15,初中生,男,1.0,9:00-11:00,0
87.0,18.0,3.0,1.0,5.0,5.0,25.0,18,高中生,女,12.0,20:00-21:30,0
88.0,28.0,6.0,1.0,8.0,7.0,160.0,18,高中生,男,7.0,9:00-11:00,1
89.0,25.0,3.0,1.0,3.0,6.0,168.0,13,初中生,男,11.0,20:00-21:30,0
90.0,22.0,4.0,1.0,5.0,7.0,190.0,16,高中生,女,5.0,20:00-21:30,1
91.0,16.0,6.0,1.0,3.0,2.0,69.0,16,高中生,男,4.0,20:00-21:30,0
92.0,18.0,2.0,1.0,5.0,1.0,160.0,40,销售经理,男,8.0,15:00-17:00,0
93.0,23.0,5.0,1.0,1.0,1.0,58.0,14,初中生,女,13.0,9:00-11:00,0
94.0,28.0,5.0,1.0,7.0,1.0,119.0,7,小学生,男,11.0,9:00-11:00,1
95.0,18.0,5.0,1.0,2.0,4.0,110.0,16,高中生,女,13.0,17:00-19:00,0
96.0,26.0,3.0,1.0,4.0,0.0,108.0,16,高中生,女,3.0,17:00-19:00,0
97.0,16.0,6.0,1.0,6.0,4.0,336.0,10,小学生,女,13.0,17:00-19:00,1
99.0,22.0,3.0,1.0,9.0,5.0,279.0,14,初中生,男,11.0,9:00-11:00,1
100.0,15.0,1.0,1.0,4.0,5.0,44.0,7,小学生,女,4.0,17:00-19:00,0
101.0,27.0,3.0,1.0,1.0,7.0,47.0,44,销售经理,男,4.0,19:00-21:00,0
102.0,24.0,5.0,1.0,4.0,0.0,164.0,17,高中生,女,9.0,9:00-11:00,0
103.0,19.0,3.0,1.0,6.0,3.0,156.0,14,初中生,女,12.0,9:00-11:00,0
104.0,21.0,6.0,1.0,3.0,0.0,27.0,15,初中生,男,3.0,9:00-11:00,0
105.0,25.0,5.0,1.0,4.0,5.0,180.0,38,全职妈妈,女,14.0,15:00-17:00,1
106.0,24.0,3.0,1.0,2.0,6.0,112.0,15,初中生,男,4.0,20:00-21:30,0
108.0,19.0,5.0,1.0,8.0,1.0,328.0,15,初中生,男,3.0,17:00-19:00,1
109.0,22.0,3.0,1.0,7.0,5.0,217.0,13,初中生,女,2.0,20:00-21:30,1
110.0,20.0,2.0,1.0,2.0,2.0,82.0,15,初中生,男,1.0,17:00-19:00,0
111.0,18.0,1.0,1.0,6.0,1.0,150.0,30,全职妈妈,女,13.0,15:00-17:00,0
112.0,8.0,2.0,1.0,9.0,5.0,216.0,13,初中生,女,5.0,20:00-21:30,0
113.0,26.0,6.0,1.0,3.0,4.0,30.0,37,全职妈妈,男,5.0,20:30-22:00,0
114.0,15.0,3.0,1.0,8.0,0.0,176.0,17,高中生,男,11.0,20:00-21:30,0
115.0,25.0,7.0,1.0,7.0,6.0,231.0,34,全职妈妈,女,9.0,19:00-21:00,1
116.0,23.0,6.0,1.0,6.0,6.0,336.0,30,销售经理,男,7.0,19:00-21:00,1
117.0,21.0,4.0,1.0,10.0,1.0,510.0,31,教师,男,6.0,19:00-21:00,1
118.0,21.0,6.0,1.0,5.0,4.0,195.0,17,高中生,女,7.0,20:00-21:30,1
119.0,25.0,3.0,1.0,5.0,6.0,110.0,38,全职妈妈,女,8.0,19:00-21:00,1
120.0,20.0,2.0,1.0,5.0,6.0,140.0,41,公司职员,男,2.0,15:00-17:00,0
122.0,20.0,1.0,1.0,4.0,2.0,24.0,16,高中生,男,11.0,17:00-19:00,0
123.0,16.0,3.0,1.0,10.0,1.0,390.0,16,高中生,男,5.0,20:00-21:30,1
124.0,22.0,7.0,1.0,3.0,0.0,96.0,11,小学生,女,12.0,17:00-19:00,0
125.0,23.0,1.0,1.0,2.0,6.0,40.0,39,教师,男,1.0,20:30-22:00,0
126.0,31.0,4.0,1.0,6.0,3.0,6.0,17,高中生,男,12.0,17:00-19:00,1
127.0,22.0,4.0,1.0,4.0,4.0,68.0,12,小学生,女,4.0,17:00-19:00,0
128.0,20.0,7.0,1.0,4.0,6.0,184.0,17,高中生,女,10.0,17:00-19:00,1
129.0,19.0,3.0,1.0,8.0,7.0,256.0,31,销售经理,男,7.0,15:00-17:00,1
130.0,11.0,2.0,1.0,5.0,2.0,180.0,15,初中生,女,1.0,20:00-21:30,0
131.0,26.0,2.0,1.0,4.0,0.0,132.0,43,公司职员,女,11.0,20:30-22:00,0
132.0,21.0,2.0,1.0,7.0,4.0,133.0,35,全职妈妈,女,11.0,20:30-22:00,0
133.0,21.0,9.0,1.0,4.0,4.0,136.0,18,高中生,女,8.0,20:00-21:30,1
134.0,16.0,6.0,1.0,2.0,1.0,100.0,38,销售经理,男,4.0,19:00-21:00,0
135.0,20.0,0.0,0.0,0.0,0.0,0.0,14,初中生,男,8.0,9:00-11:00,2
136.0,23.0,8.0,1.0,3.0,1.0,180.0,17,高中生,男,8.0,20:00-21:30,1
138.0,21.0,6.0,1.0,8.0,7.0,136.0,15,初中生,女,5.0,9:00-11:00,1
139.0,23.0,4.0,1.0,6.0,6.0,270.0,8,小学生,男,12.0,20:00-21:30,1
140.0,13.0,3.0,1.0,0.0,5.0,0.0,16,高中生,女,11.0,9:00-11:00,0
141.0,30.0,6.0,1.0,8.0,6.0,56.0,16,高中生,男,4.0,20:00-21:30,1
142.0,19.0,4.0,1.0,5.0,7.0,300.0,17,高中生,女,6.0,20:00-21:30,1
143.0,20.0,2.0,1.0,4.0,5.0,116.0,17,高中生,男,12.0,9:00-11:00,0
144.0,30.0,2.0,1.0,5.0,4.0,215.0,15,初中生,男,5.0,20:00-21:30,1
145.0,16.0,2.0,1.0,7.0,1.0,364.0,15,初中生,男,2.0,9:00-11:00,1
146.0,14.0,4.0,1.0,6.0,2.0,54.0,18,高中生,男,4.0,9:00-11:00,0
147.0,14.0,2.0,1.0,3.0,6.0,66.0,18,高中生,女,13.0,9:00-11:00,0
148.0,13.0,3.0,1.0,4.0,2.0,204.0,16,高中生,女,5.0,17:00-19:00,0
149.0,26.0,9.0,1.0,2.0,6.0,96.0,14,初中生,男,9.0,17:00-19:00,1
150.0,26.0,3.0,1.0,4.0,4.0,40.0,13,初中生,女,12.0,17:00-19:00,0
151.0,15.0,4.0,1.0,1.0,1.0,1.0,17,高中生,男,1.0,9:00-11:00,0
152.0,24.0,4.0,1.0,9.0,0.0,513.0,14,初中生,男,3.0,17:00-19:00,1
153.0,18.0,6.0,1.0,3.0,0.0,75.0,14,初中生,男,2.0,20:00-21:30,0
154.0,24.0,3.0,1.0,1.0,0.0,35.0,18,高中生,女,1.0,17:00-19:00,0
155.0,19.0,5.0,1.0,5.0,6.0,160.0,11,小学生,女,2.0,17:00-19:00,1
156.0,19.0,6.0,1.0,4.0,6.0,184.0,10,小学生,女,13.0,9:00-11:00,1
157.0,27.0,9.0,1.0,6.0,2.0,72.0,15,初中生,男,8.0,20:00-21:30,1
158.0,24.0,6.0,1.0,5.0,1.0,195.0,39,全职妈妈,女,1.0,15:00-17:00,1
159.0,21.0,4.0,1.0,8.0,7.0,192.0,36,公司职员,女,5.0,15:00-17:00,1
160.0,19.0,4.0,1.0,5.0,6.0,15.0,8,小学生,男,2.0,17:00-19:00,0
161.0,28.0,8.0,1.0,7.0,1.0,287.0,10,小学生,女,8.0,20:00-21:30,1
162.0,31.0,6.0,1.0,4.0,2.0,72.0,9,小学生,女,12.0,20:00-21:30,1
163.0,23.0,1.0,1.0,1.0,6.0,17.0,8,小学生,女,13.0,9:00-11:00,0
164.0,18.0,6.0,1.0,5.0,0.0,180.0,16,高中生,男,9.0,17:00-19:00,0
165.0,23.0,5.0,1.0,4.0,0.0,116.0,17,高中生,女,2.0,17:00-19:00,0
167.0,14.0,2.0,1.0,2.0,5.0,114.0,33,全职妈妈,男,5.0,15:00-17:00,0
168.0,12.0,3.0,1.0,12.0,3.0,264.0,14,初中生,女,8.0,20:00-21:30,1
169.0,20.0,3.0,1.0,5.0,7.0,290.0,7,小学生,女,12.0,20:00-21:30,1
170.0,19.0,4.0,1.0,10.0,5.0,530.0,16,高中生,男,11.0,9:00-11:00,1
171.0,23.0,2.0,1.0,6.0,6.0,90.0,16,高中生,女,11.0,20:00-21:30,0
172.0,13.0,3.0,1.0,1.0,1.0,0.0,16,高中生,男,11.0,20:00-21:30,0
173.0,24.0,12.0,1.0,6.0,6.0,66.0,43,教师,女,8.0,19:00-21:00,1
174.0,19.0,1.0,1.0,2.0,1.0,46.0,17,高中生,男,11.0,17:00-19:00,0
175.0,19.0,8.0,1.0,4.0,1.0,132.0,43,自由职业者,女,5.0,15:00-17:00,0
176.0,25.0,4.0,1.0,5.0,5.0,260.0,31,销售经理,男,6.0,20:30-22:00,1
177.0,20.0,6.0,1.0,8.0,3.0,448.0,14,初中生,女,14.0,17:00-19:00,1
178.0,14.0,4.0,1.0,4.0,4.0,28.0,18,高中生,男,1.0,17:00-19:00,0
179.0,12.0,3.0,1.0,2.0,5.0,34.0,18,高中生,女,11.0,20:00-21:30,0
180.0,15.0,4.0,1.0,1.0,3.0,56.0,38,教师,女,5.0,20:30-22:00,0
181.0,24.0,7.0,1.0,8.0,0.0,376.0,33,全职妈妈,男,11.0,15:00-17:00,1
183.0,18.0,3.0,1.0,4.0,1.0,100.0,7,小学生,男,2.0,9:00-11:00,0
184.0,13.0,3.0,1.0,1.0,2.0,29.0,39,全职妈妈,女,5.0,20:30-22:00,0
185.0,23.0,6.0,1.0,9.0,6.0,477.0,37,全职妈妈,男,3.0,20:30-22:00,1
187.0,22.0,6.0,1.0,2.0,1.0,36.0,14,初中生,男,13.0,9:00-11:00,0
188.0,10.0,2.0,1.0,4.0,2.0,112.0,13,初中生,男,5.0,9:00-11:00,0
189.0,20.0,6.0,1.0,3.0,7.0,6.0,18,高中生,男,3.0,20:00-21:30,0
190.0,18.0,2.0,1.0,8.0,3.0,200.0,17,高中生,男,13.0,9:00-11:00,1
191.0,20.0,4.0,1.0,9.0,7.0,351.0,14,初中生,女,12.0,17:00-19:00,1
192.0,22.0,0.0,0.0,0.0,0.0,0.0,16,高中生,女,7.0,17:00-19:00,2
193.0,24.0,4.0,1.0,4.0,0.0,228.0,14,初中生,女,13.0,20:00-21:30,0
194.0,18.0,3.0,1.0,5.0,7.0,285.0,15,初中生,女,11.0,17:00-19:00,1
195.0,23.0,4.0,1.0,11.0,6.0,121.0,16,高中生,男,10.0,20:00-21:30,1
196.0,28.0,7.0,1.0,8.0,5.0,8.0,33,全职妈妈,女,8.0,19:00-21:00,1
197.0,31.0,5.0,1.0,6.0,2.0,60.0,34,全职妈妈,男,13.0,20:30-22:00,1
200.0,10.0,1.0,1.0,7.0,7.0,119.0,31,全职妈妈,女,4.0,15:00-17:00,0
201.0,19.0,2.0,1.0,6.0,5.0,72.0,17,高中生,女,12.0,17:00-19:00,0
202.0,22.0,2.0,1.0,5.0,2.0,180.0,13,初中生,女,12.0,17:00-19:00,0
203.0,26.0,6.0,1.0,3.0,1.0,63.0,15,初中生,男,1.0,17:00-19:00,0
204.0,20.0,5.0,1.0,5.0,1.0,55.0,13,初中生,男,6.0,20:00-21:30,0
205.0,26.0,6.0,1.0,3.0,1.0,3.0,11,小学生,男,11.0,17:00-19:00,0
207.0,31.0,5.0,1.0,7.0,3.0,42.0,17,高中生,女,3.0,17:00-19:00,1
211.0,21.0,1.0,1.0,6.0,6.0,66.0,44,自由职业者,女,4.0,20:30-22:00,0
212.0,21.0,3.0,1.0,3.0,0.0,45.0,37,公司职员,男,6.0,15:00-17:00,0
213.0,22.0,4.0,1.0,4.0,6.0,88.0,15,初中生,男,14.0,9:00-11:00,0
214.0,27.0,5.0,1.0,6.0,3.0,234.0,13,初中生,女,11.0,9:00-11:00,1
215.0,15.0,3.0,1.0,6.0,5.0,354.0,45,销售经理,女,5.0,19:00-21:00,1
216.0,25.0,5.0,1.0,6.0,7.0,48.0,17,高中生,男,4.0,9:00-11:00,1
217.0,24.0,5.0,1.0,6.0,6.0,186.0,15,初中生,女,11.0,17:00-19:00,1
218.0,15.0,4.0,1.0,3.0,1.0,42.0,18,高中生,女,5.0,20:00-21:30,0
219.0,19.0,5.0,1.0,5.0,0.0,180.0,9,小学生,女,2.0,20:00-21:30,0
220.0,19.0,5.0,1.0,2.0,2.0,24.0,14,初中生,男,3.0,9:00-11:00,0
221.0,28.0,9.0,1.0,5.0,1.0,20.0,38,自由职业者,女,5.0,20:30-22:00,1
222.0,21.0,1.0,1.0,3.0,0.0,30.0,40,自由职业者,女,8.0,19:00-21:00,0
224.0,21.0,0.0,0.0,0.0,0.0,0.0,41,销售经理,男,7.0,19:00-21:00,2
225.0,21.0,5.0,1.0,11.0,2.0,132.0,13,初中生,男,11.0,9:00-11:00,1
226.0,23.0,7.0,1.0,7.0,4.0,280.0,18,高中生,男,11.0,20:00-21:30,1
227.0,13.0,2.0,1.0,7.0,5.0,364.0,8,小学生,男,10.0,9:00-11:00,1
228.0,15.0,5.0,1.0,4.0,0.0,180.0,15,初中生,男,2.0,9:00-11:00,0
229.0,15.0,1.0,1.0,1.0,4.0,49.0,43,自由职业者,男,1.0,19:00-21:00,0
230.0,16.0,6.0,1.0,4.0,7.0,56.0,14,初中生,男,4.0,9:00-11:00,0
231.0,28.0,5.0,1.0,5.0,7.0,205.0,10,小学生,男,12.0,9:00-11:00,1
232.0,23.0,2.0,1.0,4.0,5.0,220.0,34,全职妈妈,女,11.0,19:00-21:00,0
233.0,16.0,3.0,1.0,4.0,7.0,24.0,43,销售经理,女,5.0,19:00-21:00,0
234.0,16.0,2.0,1.0,7.0,0.0,273.0,16,高中生,男,4.0,20:00-21:30,0
235.0,16.0,2.0,1.0,6.0,0.0,162.0,12,小学生,男,11.0,20:00-21:30,0
236.0,15.0,2.0,1.0,8.0,7.0,248.0,9,小学生,男,2.0,20:00-21:30,1
237.0,17.0,5.0,1.0,4.0,4.0,136.0,8,小学生,女,10.0,17:00-19:00,0
238.0,21.0,4.0,1.0,3.0,0.0,42.0,9,小学生,男,3.0,9:00-11:00,0
242.0,16.0,2.0,1.0,4.0,3.0,20.0,30,公司职员,男,6.0,19:00-21:00,0
243.0,19.0,3.0,1.0,3.0,5.0,0.0,16,高中生,男,1.0,17:00-19:00,0
244.0,23.0,2.0,1.0,5.0,7.0,15.0,33,销售经理,女,8.0,20:30-22:00,0
245.0,20.0,2.0,1.0,6.0,0.0,60.0,33,销售经理,男,4.0,15:00-17:00,0
246.0,21.0,5.0,1.0,6.0,3.0,258.0,12,小学生,女,8.0,9:00-11:00,1
247.0,14.0,1.0,1.0,4.0,0.0,100.0,45,公司职员,女,7.0,15:00-17:00,0
248.0,21.0,4.0,1.0,4.0,0.0,240.0,12,小学生,女,2.0,17:00-19:00,0
249.0,18.0,4.0,1.0,5.0,4.0,180.0,13,初中生,男,5.0,9:00-11:00,0
250.0,17.0,1.0,1.0,1.0,1.0,22.0,18,高中生,女,7.0,9:00-11:00,0
251.0,15.0,3.0,1.0,9.0,7.0,252.0,17,高中生,女,7.0,17:00-19:00,1
252.0,22.0,3.0,1.0,7.0,5.0,140.0,36,公司职员,男,4.0,20:30-22:00,1
